tenure,monthly_charges,contract_type,support_calls,data_usage_gb,senior_citizen,TRUE_PROB,churn
53,77.6,Two Year,3,0.5,0,0.0996,0
29,20.16,One Year,1,14.34,0,0.0429,0
30,59.48,Month-to-Month,3,0.5,0,0.4802,0
23,30.89,Month-to-Month,2,1.84,0,0.2841,0
40,77.66,Month-to-Month,2,6.29,0,0.4078,0
31,66.39,Month-to-Month,1,1.57,1,0.4693,0
38,49.58,Month-to-Month,2,14.36,0,0.2048,0
12,93.69,Month-to-Month,1,12.01,0,0.8258,1
54,47.07,Two Year,2,11.28,0,0.0233,0
60,20.0,Month-to-Month,3,13.55,1,0.0408,0
31,75.27,One Year,2,1.98,0,0.3008,1
72,29.67,Two Year,1,10.44,0,0.0034,0
65,47.7,Two Year,1,3.51,0,0.0105,0
40,54.65,Month-to-Month,0,8.79,0,0.1491,0
56,36.52,Month-to-Month,0,1.04,0,0.04,0
49,55.13,Month-to-Month,2,9.78,0,0.1493,1
10,36.89,Month-to-Month,1,28.64,0,0.3598,1
25,68.25,Month-to-Month,2,0.5,0,0.564,0
42,40.43,Two Year,2,0.79,0,0.043,0
62,65.6,Month-to-Month,0,1.06,0,0.073,0
13,88.24,Month-to-Month,2,4.5,0,0.8388,1
10,80.65,Two Year,2,2.75,0,0.5421,0
28,63.37,Month-to-Month,1,13.16,0,0.3684,0
8,45.23,Month-to-Month,1,5.14,0,0.5484,1
28,68.18,One Year,1,5.3,0,0.231,0
35,51.09,Month-to-Month,3,10.1,0,0.3031,0
17,69.02,One Year,1,3.59,0,0.378,0
28,30.69,Month-to-Month,2,3.49,0,0.2174,1
47,81.15,Two Year,0,11.32,0,0.0678,0
22,65.66,Month-to-Month,0,12.11,0,0.4256,1
19,109.17,Month-to-Month,0,0.5,0,0.8301,1
28,91.12,One Year,3,1.24,0,0.5442,1
16,76.32,Month-to-Month,0,1.92,0,0.6394,1
71,62.52,Month-to-Month,0,3.47,0,0.0385,0
30,50.41,Month-to-Month,2,2.76,1,0.4086,0
20,83.85,Month-to-Month,0,8.83,0,0.6248,1
33,60.41,Month-to-Month,0,14.09,0,0.2385,0
28,88.37,One Year,1,1.71,0,0.3962,1
26,73.02,One Year,1,6.62,0,0.2812,1
22,73.16,One Year,0,3.67,0,0.291,0
21,76.89,Month-to-Month,0,5.64,0,0.5559,0
12,46.61,Month-to-Month,3,7.76,1,0.6819,1
56,44.56,One Year,1,17.92,0,0.0203,0
39,43.87,Two Year,1,1.71,0,0.0437,0
34,85.95,Month-to-Month,0,0.73,0,0.459,0
27,46.09,Month-to-Month,3,7.89,0,0.3774,0
17,48.58,Month-to-Month,1,4.01,1,0.5176,0
19,75.75,Month-to-Month,3,1.42,0,0.7554,1
12,59.96,One Year,2,1.0,0,0.4388,1
21,57.4,Month-to-Month,2,6.55,0,0.5202,1
16,55.67,One Year,0,2.86,0,0.2468,0
64,20.0,Month-to-Month,1,47.7,1,0.0124,0
45,45.66,Month-to-Month,1,4.17,0,0.1176,0
31,88.63,Two Year,0,1.91,1,0.2772,0
18,54.21,Month-to-Month,5,7.93,0,0.7,1
16,26.99,Month-to-Month,0,2.24,1,0.2979,0
27,44.84,Two Year,4,5.45,0,0.1675,0
46,72.2,Two Year,0,5.27,1,0.0753,0
13,71.8,One Year,0,4.83,0,0.4009,0
39,59.11,Month-to-Month,0,12.72,0,0.1749,0
20,51.22,Month-to-Month,0,1.95,0,0.3626,0
22,36.96,Two Year,1,18.77,0,0.07,0
30,72.36,Month-to-Month,0,12.54,0,0.3635,0
18,81.76,Two Year,1,3.24,0,0.3685,1
26,90.78,Month-to-Month,1,1.59,0,0.68,1
18,42.79,Month-to-Month,2,2.62,1,0.5269,1
21,92.31,Two Year,0,3.24,1,0.4258,0
42,63.87,Month-to-Month,3,6.51,1,0.3865,1
31,65.53,Month-to-Month,3,0.5,0,0.5208,1
42,82.87,Month-to-Month,3,19.66,0,0.4282,1
20,54.18,Month-to-Month,1,0.83,0,0.454,1
39,21.72,Month-to-Month,0,2.62,0,0.062,0
11,79.1,Month-to-Month,1,0.93,1,0.8259,1
30,71.97,Month-to-Month,2,2.37,1,0.5936,0
40,57.79,One Year,2,14.55,0,0.1007,0
11,77.45,Month-to-Month,1,7.64,1,0.8044,1
20,81.54,Two Year,1,2.06,0,0.3422,1
30,34.76,Month-to-Month,1,16.43,0,0.1566,0
48,65.45,One Year,3,12.9,1,0.1432,0
21,20.0,Month-to-Month,1,11.21,0,0.1681,0
38,62.53,One Year,1,15.05,0,0.1033,0
57,57.55,Two Year,1,7.73,0,0.0219,0
39,74.84,Two Year,2,5.57,0,0.1407,0
26,43.54,One Year,0,3.75,0,0.1005,0
35,56.57,Month-to-Month,2,2.03,0,0.3156,0
21,20.0,Two Year,4,6.52,0,0.1035,0
31,76.15,Two Year,1,17.62,0,0.1558,1
27,63.23,Two Year,2,7.21,0,0.1801,0
35,66.74,Month-to-Month,1,20.17,1,0.3531,1
23,35.13,Two Year,0,3.53,0,0.0612,0
36,72.96,Month-to-Month,5,9.5,0,0.6018,1
23,98.05,Month-to-Month,0,8.37,0,0.6912,1
45,61.3,Month-to-Month,0,8.88,1,0.1861,0
25,78.0,Month-to-Month,2,8.29,0,0.6292,1
8,47.59,One Year,3,2.0,1,0.5331,0
16,63.46,Two Year,2,1.24,0,0.3135,0
30,34.37,One Year,1,30.77,0,0.0539,0
63,80.76,One Year,0,0.5,0,0.045,0
44,68.2,Month-to-Month,1,5.04,0,0.2357,0
7,40.61,One Year,2,4.43,0,0.3465,0
12,48.96,Month-to-Month,2,3.57,0,0.584,0
51,66.22,Two Year,1,12.19,0,0.0411,0
40,83.48,One Year,3,10.94,0,0.2728,0
72,94.59,One Year,1,18.85,0,0.0422,0
23,62.32,Month-to-Month,1,4.03,0,0.475,1
18,37.71,Two Year,0,6.64,0,0.0856,0
30,69.77,Month-to-Month,3,17.83,0,0.4995,1
23,100.7,Month-to-Month,6,40.73,0,0.8762,1
48,32.55,One Year,4,27.87,0,0.0371,0
22,45.91,Month-to-Month,2,10.12,0,0.383,1
25,77.22,Two Year,1,1.24,0,0.2518,0
17,68.07,Month-to-Month,0,0.5,0,0.5671,0
43,54.1,Month-to-Month,0,13.95,1,0.1588,1
17,69.4,Two Year,2,14.71,0,0.3031,0
36,84.55,Month-to-Month,4,10.97,0,0.6287,1
68,63.03,Month-to-Month,1,2.63,0,0.0577,0
10,61.28,Month-to-Month,2,8.17,0,0.6991,1
59,76.78,Month-to-Month,1,3.04,1,0.1927,0
34,59.59,One Year,2,4.79,0,0.1685,0
15,87.85,Month-to-Month,0,3.86,0,0.7314,1
31,105.53,Two Year,0,19.59,0,0.2763,0
42,47.14,One Year,3,2.13,0,0.0974,0
19,40.0,Month-to-Month,0,6.89,0,0.2825,0
37,72.43,One Year,2,3.58,0,0.2094,0
61,39.29,One Year,2,8.7,0,0.0179,0
22,38.95,Month-to-Month,1,6.65,0,0.2855,1
17,24.02,Month-to-Month,2,20.61,0,0.256,0
27,57.35,Month-to-Month,0,0.86,0,0.3203,0
30,64.34,One Year,3,1.99,0,0.285,1
49,54.65,One Year,5,11.63,0,0.1129,0
27,92.81,Month-to-Month,3,3.68,0,0.7728,1
23,91.32,One Year,1,1.45,0,0.4871,0
16,103.58,One Year,0,5.6,0,0.6171,0
11,65.93,One Year,2,8.45,0,0.4914,1
14,88.68,One Year,0,0.5,0,0.5487,0
14,71.18,Month-to-Month,0,2.76,0,0.6299,0
26,69.17,Two Year,2,13.26,0,0.2125,0
12,55.65,One Year,0,5.88,0,0.2832,1
29,20.0,Two Year,2,0.5,0,0.0466,0
68,77.75,Month-to-Month,3,2.65,0,0.1501,1
50,88.08,Month-to-Month,1,8.15,0,0.2888,0
25,34.49,Month-to-Month,1,1.78,0,0.2326,1
72,64.81,Month-to-Month,3,14.05,0,0.0683,0
30,84.83,One Year,1,9.03,1,0.3749,0
32,57.81,Month-to-Month,4,5.1,0,0.4746,0
27,88.86,Two Year,1,19.78,0,0.2559,0
29,62.19,One Year,7,3.98,0,0.5143,1
22,54.5,One Year,2,2.14,0,0.2668,1
26,90.01,Month-to-Month,4,8.66,0,0.7997,1
59,46.32,Two Year,2,6.81,0,0.0177,0
53,50.5,Two Year,0,3.27,0,0.0188,1
8,47.09,One Year,4,3.37,0,0.5146,1
13,42.15,Month-to-Month,1,4.06,1,0.5267,1
19,68.06,Month-to-Month,1,2.75,0,0.5874,1
46,54.74,Month-to-Month,5,9.91,1,0.3658,0
53,74.77,Month-to-Month,0,8.43,1,0.1801,0
42,30.31,Month-to-Month,1,4.65,0,0.0856,0
15,42.55,One Year,0,4.06,0,0.173,0
22,66.03,One Year,1,3.63,0,0.2903,0
37,94.39,Month-to-Month,1,2.67,1,0.6141,1
26,72.57,Month-to-Month,5,0.72,0,0.756,1
24,53.21,Two Year,2,2.5,0,0.1662,1
24,35.21,Month-to-Month,4,3.1,0,0.4103,0
51,52.04,One Year,1,6.35,0,0.0407,0
39,64.15,Month-to-Month,3,11.89,0,0.3438,0
25,20.0,Month-to-Month,0,4.03,0,0.1244,0
35,40.73,Month-to-Month,0,23.17,1,0.142,0
14,50.25,One Year,3,14.05,0,0.3488,0
22,59.85,Month-to-Month,2,33.49,1,0.4926,1
49,63.91,Two Year,0,16.71,0,0.0315,0
11,52.78,Month-to-Month,3,7.67,1,0.7311,0
40,75.12,Month-to-Month,2,7.3,0,0.3874,0
8,67.49,One Year,2,1.11,0,0.5768,0
64,57.6,Month-to-Month,2,10.25,0,0.0716,0
22,77.88,One Year,3,7.33,0,0.4951,0
36,76.24,Month-to-Month,1,5.66,1,0.4702,0
31,35.92,Month-to-Month,1,9.45,0,0.1678,0
32,64.36,One Year,4,4.7,0,0.3101,1
34,82.81,Two Year,1,5.94,0,0.1825,1
10,86.15,Month-to-Month,3,4.06,0,0.8802,1
32,72.42,Two Year,4,10.11,0,0.2614,0
27,60.33,Month-to-Month,1,16.74,0,0.3576,0
22,73.43,Two Year,2,14.7,0,0.2769,0
19,81.16,One Year,2,12.34,0,0.4846,1
32,67.32,Month-to-Month,0,0.5,1,0.4019,1
17,69.57,Month-to-Month,1,19.43,0,0.5716,0
48,60.0,Month-to-Month,1,2.57,0,0.1579,0
37,38.26,Month-to-Month,0,17.51,0,0.095,0
33,61.51,Month-to-Month,1,1.75,0,0.3253,0
47,51.46,One Year,2,4.63,0,0.0645,1
9,51.52,Two Year,1,11.07,0,0.2377,0
14,93.68,Month-to-Month,4,8.18,1,0.9262,1
38,84.03,Month-to-Month,2,4.3,0,0.4992,0
20,31.13,One Year,1,9.08,0,0.114,0
21,43.3,Two Year,2,6.37,0,0.1376,0
13,57.73,Month-to-Month,1,2.58,0,0.5924,0
17,52.19,Month-to-Month,2,8.32,1,0.5975,0
49,71.35,Month-to-Month,0,1.83,1,0.2232,0
38,40.13,Month-to-Month,3,9.47,0,0.2073,0
32,84.17,Month-to-Month,0,0.5,0,0.4758,1
21,64.12,Month-to-Month,0,6.37,0,0.4419,1
31,58.19,Month-to-Month,1,4.1,0,0.3209,0
51,64.71,One Year,2,2.89,0,0.0832,0
20,56.65,Month-to-Month,1,5.8,0,0.4641,1
29,24.39,Month-to-Month,2,8.29,0,0.1681,0
66,65.24,Month-to-Month,1,26.89,0,0.0516,0
42,58.59,Two Year,0,14.32,0,0.0408,0
22,45.91,Two Year,0,10.1,0,0.0881,0
40,86.95,Month-to-Month,1,5.22,0,0.4303,1
11,78.39,Month-to-Month,2,3.98,0,0.8035,1
28,113.78,One Year,2,0.5,0,0.6687,0
40,81.7,Month-to-Month,2,3.56,0,0.4531,1
36,52.13,Month-to-Month,1,15.09,0,0.2002,0
40,46.88,Month-to-Month,1,3.88,0,0.1611,0
44,55.11,Two Year,1,4.95,0,0.0457,0
37,51.67,Two Year,0,2.54,0,0.0499,0
36,67.18,One Year,0,2.56,0,0.1243,0
33,34.22,Month-to-Month,0,0.51,0,0.1338,0
16,77.95,Two Year,2,7.61,0,0.4188,1
49,66.82,Two Year,0,4.75,0,0.0411,0
29,75.65,Two Year,2,7.45,0,0.2336,1
41,42.12,Month-to-Month,2,6.33,0,0.1565,0
46,69.93,Month-to-Month,1,12.83,0,0.2033,0
22,90.98,One Year,4,11.12,0,0.6481,1
23,47.79,Month-to-Month,1,11.81,0,0.322,0
25,47.24,Month-to-Month,3,5.53,1,0.5074,0
53,79.24,Month-to-Month,2,3.49,0,0.2566,0
18,45.62,Two Year,1,21.68,0,0.1153,0
58,60.33,Two Year,5,0.5,1,0.0912,0
32,94.51,Month-to-Month,5,1.32,0,0.8163,1
34,47.53,Two Year,0,4.35,0,0.0512,0
45,95.89,One Year,3,7.61,0,0.3102,1
31,58.28,Two Year,2,0.5,0,0.1413,0
49,42.58,Month-to-Month,1,10.16,0,0.0798,0
22,77.07,Month-to-Month,3,6.54,1,0.7727,1
57,67.15,Month-to-Month,2,5.3,0,0.1508,0
23,65.26,Month-to-Month,2,4.41,0,0.5589,1
58,49.63,One Year,1,5.86,1,0.0341,0
23,67.01,Month-to-Month,2,1.41,0,0.58,1
25,23.65,Two Year,0,0.92,0,0.0392,0
16,69.38,Month-to-Month,1,2.74,0,0.6337,0
19,90.94,Month-to-Month,3,9.89,0,0.8235,1
29,29.69,Month-to-Month,1,7.1,0,0.1617,0
33,56.86,Month-to-Month,3,5.23,0,0.3959,0
47,47.51,Month-to-Month,1,6.78,0,0.1074,0
26,34.78,One Year,2,6.55,0,0.1159,0
15,23.94,Month-to-Month,0,2.93,0,0.2275,0
36,41.38,One Year,0,0.82,0,0.0585,0
32,60.15,One Year,0,18.17,0,0.103,0
38,87.98,Month-to-Month,2,7.33,0,0.5292,0
21,34.55,One Year,1,9.57,0,0.1191,1
22,70.89,Two Year,4,4.99,1,0.4727,1
21,69.39,Month-to-Month,1,11.3,0,0.543,1
52,98.44,Month-to-Month,1,7.03,0,0.3533,0
57,76.42,Two Year,1,0.5,0,0.0475,0
21,77.57,Month-to-Month,3,17.67,0,0.693,1
22,78.99,Month-to-Month,0,2.92,0,0.5796,1
40,46.52,Two Year,5,1.19,0,0.1143,0
60,53.54,Month-to-Month,0,0.74,0,0.0554,0
66,87.34,Month-to-Month,0,10.2,0,0.1019,0
21,23.98,Two Year,0,9.74,0,0.0447,0
24,51.35,Two Year,1,9.64,0,0.1167,0
34,38.38,Month-to-Month,3,19.79,0,0.2076,0
35,69.68,Month-to-Month,0,3.43,1,0.378,1
27,56.57,Two Year,0,6.59,0,0.0979,0
19,77.52,One Year,3,7.73,0,0.5359,0
29,62.82,Month-to-Month,3,31.09,1,0.4882,1
66,34.08,Month-to-Month,0,3.0,1,0.0258,0
22,35.0,Month-to-Month,0,25.05,0,0.1713,0
33,64.88,Two Year,0,1.29,0,0.0978,0
72,49.58,Two Year,2,11.55,0,0.0085,0
