ds,y,TRUE_TREND,TRUE_SEASONALITY
2022-06-06,5021.0,5296.0,379.87393774349283
2022-06-13,5866.0,5300.0,360.64327338298676
2022-06-20,5668.0,5304.0,341.92730939159674
2022-06-27,5556.0,5308.0,322.27153752509844
2022-07-04,5635.0,5312.0,300.00000000000006
2022-07-11,5092.0,5316.0,273.3537869337337
2022-07-18,5506.0,5320.0,240.63778106403453
2022-07-25,5614.0,5324.0,200.3664722282622
2022-08-01,5849.0,5328.0,151.39967764843345
2022-08-08,5295.0,5332.0,93.05956026648619
2022-08-15,5159.0,5336.0,25.221404326464068
2022-08-22,5163.0,5340.0,-51.62787661081077
2022-08-29,5436.0,5344.0,-136.3676469797632
2022-09-05,5203.0,5348.0,-227.25989060006268
2022-09-12,4898.0,5352.0,-322.0037478503273
2022-09-19,5066.0,5356.0,-417.8257567606107
2022-09-26,4873.0,5360.0,-511.6011875247241
2022-10-03,5006.0,5364.0,-599.9999999999997
2022-10-10,4513.0,5368.0,-679.6494613929402
2022-10-17,4543.0,5372.0,-747.3044241506515
2022-10-24,4478.0,5376.0,-800.0157433721685
2022-10-31,4179.0,5380.0,-835.2873401837876
2022-11-07,4607.0,5384.0,-851.2129920926235
2022-11-14,4607.0,5388.0,-846.5850211945101
2022-11-21,4572.0,5392.0,-820.9685942154185
2022-11-28,6363.0,5396.0,1025.2627436561268
2022-12-05,4337.0,5400.0,-709.0674841009554
2022-12-12,4673.0,5404.0,-625.8923366793052
2022-12-19,4795.0,5408.0,-527.816578209105
2022-12-26,7293.0,5412.0,2082.002196759877
2023-01-02,5076.0,5416.0,-299.9999999999987
2023-01-09,5343.0,5420.0,-177.62752121871006
2023-01-16,5841.0,5424.0,-54.74851224652707
2023-01-23,5537.0,5428.0,64.8825910680556
2023-01-30,5674.0,5432.0,177.79386870902857
2023-02-06,5698.0,5436.0,280.9469368076783
2023-02-13,5332.0,5440.0,371.8621453127573
2023-02-20,5886.0,5444.0,448.71142625003245
2023-02-27,5973.0,5448.0,510.3741440539295
2023-03-06,6624.0,5452.0,556.4534369575267
2023-03-13,5995.0,5456.0,587.2528111466471
2023-03-20,6139.0,5460.0,603.7150255781177
2023-03-27,6063.0,5464.0,607.3274532397471
2023-04-03,5776.0,5468.0,600.0000000000001
2023-04-10,6342.0,5472.0,583.9231956779179
2023-04-17,6225.0,5476.0,561.4151553331451
2023-04-24,6213.0,5480.0,534.7666800758511
2023-05-01,5763.0,5484.0,506.09379382632505
2023-05-08,6316.0,5488.0,477.20649501845753
2023-05-15,5591.0,5492.0,449.50147155528845
2023-05-22,6067.0,5496.0,423.88504457619683
2023-05-29,6448.0,5500.0,400.7307592697077
2023-06-05,5636.0,5504.0,379.87393774349283
2023-06-12,5727.0,5508.0,360.6432733829869
2023-06-19,5879.0,5512.0,341.92730939159674
2023-06-26,5712.0,5516.0,322.2715375250988
2023-07-03,5432.0,5520.0,300.0000000000001
2023-07-10,5814.0,5524.0,273.35378693373383
2023-07-17,5503.0,5528.0,240.63778106403464
2023-07-24,5851.0,5532.0,200.36647222826232
2023-07-31,5458.0,5536.0,151.39967764843283
2023-08-07,6021.0,5540.0,93.0595602664873
2023-08-14,5373.0,5544.0,25.22140432646418
2023-08-21,5416.0,5548.0,-51.62787661081188
2023-08-28,5619.0,5552.0,-136.3676469797631
2023-09-04,5021.0,5556.0,-227.25989060006393
2023-09-11,5295.0,5560.0,-322.00374785032716
2023-09-18,5473.0,5564.0,-417.8257567606091
2023-09-25,4655.0,5568.0,-511.6011875247239
2023-10-02,5018.0,5572.0,-600.0000000000008
2023-10-09,4961.0,5576.0,-679.6494613929402
2023-10-16,5028.0,5580.0,-747.3044241506523
2023-10-23,4475.0,5584.0,-800.0157433721678
2023-10-30,4423.0,5588.0,-835.2873401837876
2023-11-06,4871.0,5592.0,-851.2129920926236
2023-11-13,4824.0,5596.0,-846.5850211945102
2023-11-20,4842.0,5600.0,-820.9685942154185
2023-11-27,6716.0,5604.0,1025.2627436561268
2023-12-04,4729.0,5608.0,-709.0674841009566
2023-12-11,5044.0,5612.0,-625.8923366793056
2023-12-18,5161.0,5616.0,-527.8165782091037
2023-12-25,7523.0,5620.0,2082.002196759877
2024-01-01,5790.0,5624.0,-300.00000000000074
2024-01-08,5569.0,5628.0,-177.62752121871398
2024-01-15,5279.0,5632.0,-54.748512246525536
2024-01-22,5865.0,5636.0,64.88259106805538
