state_id,year,expansion,post,year_rel,uninsured_rate,group_label,treated_x_post
20,2014,1,1,0,9.334,Expansion,1
20,2015,1,1,1,8.309,Expansion,1
21,2012,1,0,-2,17.83,Expansion,0
21,2013,1,0,-1,15.289,Expansion,0
21,2014,1,1,0,8.653,Expansion,1
21,2015,1,1,1,9.674,Expansion,1
22,2012,1,0,-2,15.879,Expansion,0
22,2013,1,0,-1,13.469,Expansion,0
22,2014,1,1,0,9.394,Expansion,1
22,2015,1,1,1,8.871,Expansion,1
23,2012,1,0,-2,14.391,Expansion,0
23,2013,1,0,-1,12.542,Expansion,0
23,2014,1,1,0,7.318,Expansion,1
23,2015,1,1,1,7.478,Expansion,1
24,2012,1,0,-2,14.327,Expansion,0
24,2013,1,0,-1,15.612,Expansion,0
24,2014,1,1,0,10.667,Expansion,1
24,2015,1,1,1,9.855,Expansion,1
25,2012,1,0,-2,16.255,Expansion,0
25,2013,1,0,-1,13.698,Expansion,0
25,2014,1,1,0,8.418,Expansion,1
25,2015,1,1,1,9.113,Expansion,1
26,2012,0,0,-2,18.287,Non-Expansion,0
26,2013,0,0,-1,20.431,Non-Expansion,0
26,2014,0,1,0,18.528,Non-Expansion,0
26,2015,0,1,1,16.347,Non-Expansion,0
27,2012,0,0,-2,16.577,Non-Expansion,0
27,2013,0,0,-1,17.369,Non-Expansion,0
27,2014,0,1,0,15.674,Non-Expansion,0
27,2015,0,1,1,13.602,Non-Expansion,0
28,2012,0,0,-2,19.05,Non-Expansion,0
28,2013,0,0,-1,17.957,Non-Expansion,0
28,2014,0,1,0,16.146,Non-Expansion,0
28,2015,0,1,1,17.242,Non-Expansion,0
29,2012,0,0,-2,17.78,Non-Expansion,0
29,2013,0,0,-1,18.627,Non-Expansion,0
29,2014,0,1,0,17.928,Non-Expansion,0
29,2015,0,1,1,15.481,Non-Expansion,0
30,2012,0,0,-2,17.135,Non-Expansion,0
30,2013,0,0,-1,14.314,Non-Expansion,0
30,2014,0,1,0,12.956,Non-Expansion,0
30,2015,0,1,1,14.716,Non-Expansion,0
31,2012,0,0,-2,18.19,Non-Expansion,0
31,2013,0,0,-1,17.621,Non-Expansion,0
31,2014,0,1,0,16.338,Non-Expansion,0
31,2015,0,1,1,15.187,Non-Expansion,0
32,2012,0,0,-2,18.318,Non-Expansion,0
32,2013,0,0,-1,16.801,Non-Expansion,0
32,2014,0,1,0,20.141,Non-Expansion,0
32,2015,0,1,1,15.966,Non-Expansion,0
33,2012,0,0,-2,18.057,Non-Expansion,0
33,2013,0,0,-1,18.062,Non-Expansion,0
33,2014,0,1,0,17.794,Non-Expansion,0
33,2015,0,1,1,15.495,Non-Expansion,0
34,2012,0,0,-2,17.867,Non-Expansion,0
34,2013,0,0,-1,17.721,Non-Expansion,0
34,2014,0,1,0,18.267,Non-Expansion,0
34,2015,0,1,1,16.354,Non-Expansion,0
35,2012,0,0,-2,18.875,Non-Expansion,0
35,2013,0,0,-1,16.932,Non-Expansion,0
35,2014,0,1,0,14.481,Non-Expansion,0
35,2015,0,1,1,15.686,Non-Expansion,0
36,2012,0,0,-2,15.993,Non-Expansion,0
36,2013,0,0,-1,16.004,Non-Expansion,0
36,2014,0,1,0,15.895,Non-Expansion,0
36,2015,0,1,1,14.546,Non-Expansion,0
37,2012,0,0,-2,17.802,Non-Expansion,0
37,2013,0,0,-1,16.914,Non-Expansion,0
37,2014,0,1,0,17.181,Non-Expansion,0
37,2015,0,1,1,15.595,Non-Expansion,0
38,2012,0,0,-2,18.188,Non-Expansion,0
38,2013,0,0,-1,16.312,Non-Expansion,0
38,2014,0,1,0,14.354,Non-Expansion,0
38,2015,0,1,1,15.472,Non-Expansion,0
39,2012,0,0,-2,18.766,Non-Expansion,0
39,2013,0,0,-1,18.898,Non-Expansion,0
39,2014,0,1,0,17.457,Non-Expansion,0
39,2015,0,1,1,16.269,Non-Expansion,0
40,2012,0,0,-2,19.052,Non-Expansion,0
40,2013,0,0,-1,18.737,Non-Expansion,0
40,2014,0,1,0,18.852,Non-Expansion,0
40,2015,0,1,1,17.354,Non-Expansion,0
41,2012,0,0,-2,18.677,Non-Expansion,0
41,2013,0,0,-1,18.016,Non-Expansion,0
41,2014,0,1,0,17.018,Non-Expansion,0
41,2015,0,1,1,17.623,Non-Expansion,0
42,2012,0,0,-2,17.26,Non-Expansion,0
42,2013,0,0,-1,17.886,Non-Expansion,0
42,2014,0,1,0,16.502,Non-Expansion,0
42,2015,0,1,1,18.165,Non-Expansion,0
43,2012,0,0,-2,20.851,Non-Expansion,0
43,2013,0,0,-1,18.659,Non-Expansion,0
43,2014,0,1,0,18.831,Non-Expansion,0
43,2015,0,1,1,17.844,Non-Expansion,0
44,2012,0,0,-2,17.415,Non-Expansion,0
44,2013,0,0,-1,18.942,Non-Expansion,0
44,2014,0,1,0,19.535,Non-Expansion,0
44,2015,0,1,1,17.118,Non-Expansion,0
