restaurant_id,state,treated,period,post,employment,treated_x_post,period_label
43,NJ,1,0,0,21.15690965234999,0,Before
44,NJ,1,0,0,17.860138426971204,0,Before
45,NJ,1,0,0,19.984436216494817,0,Before
46,NJ,1,0,0,20.710211441312595,0,Before
47,NJ,1,0,0,24.959942233412963,0,Before
48,NJ,1,0,0,22.962131210791693,0,Before
49,NJ,1,0,0,17.063487564984346,0,Before
50,NJ,1,0,0,22.907435114305425,0,Before
51,NJ,1,0,0,20.921769614834314,0,Before
52,NJ,1,0,0,20.104618399143316,0,Before
53,NJ,1,0,0,23.71269360875443,0,Before
54,NJ,1,0,0,24.886798662988664,0,Before
55,NJ,1,0,0,24.607584333525356,0,Before
56,NJ,1,0,0,19.650190934976614,0,Before
57,NJ,1,0,0,21.1342053476166,0,Before
58,NJ,1,0,0,22.927537607929978,0,Before
59,NJ,1,0,0,24.731526355942606,0,Before
60,NJ,1,0,0,20.65831213403319,0,Before
61,NJ,1,0,0,21.480154865341312,0,Before
62,NJ,1,0,0,18.90226207278312,0,Before
63,NJ,1,0,0,18.65062145257412,0,Before
64,NJ,1,0,0,24.275072302703755,0,Before
65,NJ,1,0,0,25.797472079998304,0,Before
66,NJ,1,0,0,21.798371659575064,0,Before
67,NJ,1,0,0,24.809892114097668,0,Before
68,NJ,1,0,0,23.012580870133377,0,Before
69,NJ,1,0,0,20.193664687105652,0,Before
70,NJ,1,0,0,23.01190769542356,0,Before
71,NJ,1,0,0,26.306502386104714,0,Before
72,NJ,1,0,0,21.899687090492137,0,Before
73,NJ,1,0,0,26.381002236279215,0,Before
74,NJ,1,0,0,14.664713708548717,0,Before
75,NJ,1,0,0,24.301327012250628,0,Before
76,NJ,1,0,0,22.243731791066878,0,Before
77,NJ,1,0,0,21.16277941869557,0,Before
78,NJ,1,0,0,22.256930174299406,0,Before
79,NJ,1,0,0,16.4348070391175,0,Before
0,PA,0,0,0,18.884918714054965,0,Before
1,PA,0,0,0,20.49991520023289,0,Before
2,PA,0,0,0,23.638103325276244,0,Before
3,PA,0,0,0,18.048843388833788,0,Before
4,PA,0,0,0,17.236217911899075,0,Before
5,PA,0,0,0,18.095080277963298,0,Before
6,PA,0,0,0,22.063125929565807,0,Before
7,PA,0,0,0,20.420503107047118,0,Before
8,PA,0,0,0,18.01667142945229,0,Before
9,PA,0,0,0,20.937148812717396,0,Before
10,PA,0,0,0,19.771817138174512,0,Before
11,PA,0,0,0,22.21220597349209,0,Before
12,PA,0,0,0,17.534251337143413,0,Before
13,PA,0,0,0,18.58254598952625,0,Before
14,PA,0,0,0,18.402097171229958,0,Before
15,PA,0,0,0,15.402158145230068,0,Before
16,PA,0,0,0,20.329136775780814,0,Before
17,PA,0,0,0,20.23095476210369,0,Before
18,PA,0,0,0,19.51431767859889,0,Before
19,PA,0,0,0,18.843156026549586,0,Before
20,PA,0,0,0,15.53696192225884,0,Before
21,PA,0,0,0,18.322193096256996,0,Before
22,PA,0,0,0,18.540399353725046,0,Before
23,PA,0,0,0,17.253623646179467,0,Before
24,PA,0,0,0,19.048400007335175,0,Before
25,PA,0,0,0,20.631342399080708,0,Before
26,PA,0,0,0,24.781320523389486,0,Before
27,PA,0,0,0,19.98881787592915,0,Before
28,PA,0,0,0,20.22114109402374,0,Before
29,PA,0,0,0,19.291551435854732,0,Before
30,PA,0,0,0,14.127440597162684,0,Before
31,PA,0,0,0,19.425761148742193,0,Before
32,PA,0,0,0,19.668644587834873,0,Before
33,PA,0,0,0,26.3970779149588,0,Before
34,PA,0,0,0,18.961389298612858,0,Before
35,PA,0,0,0,20.344332558534116,0,Before
36,PA,0,0,0,19.40280704482532,0,Before
37,PA,0,0,0,16.22770149466531,0,Before
38,PA,0,0,0,22.699903880642058,0,Before
39,PA,0,0,0,21.60541249152297,0,Before
40,PA,0,0,0,21.71488945172053,0,Before
41,PA,0,0,0,16.953715126574732,0,Before
42,PA,0,0,0,23.427824070621078,0,Before
43,PA,0,0,0,15.574817024181614,0,Before
44,PA,0,0,0,21.143199862640756,0,Before
45,PA,0,0,0,25.63327575226794,0,Before
46,PA,0,0,0,16.726498289634073,0,Before
47,PA,0,0,0,17.91436635711224,0,Before
48,PA,0,0,0,19.779023822245396,0,Before
49,PA,0,0,0,18.090268168474644,0,Before
50,PA,0,0,0,15.158142393014828,0,Before
51,PA,0,0,0,19.691976329456878,0,Before
52,PA,0,0,0,16.525549601566908,0,Before
53,PA,0,0,0,20.82605880577851,0,Before
54,PA,0,0,0,16.92561214414535,0,Before
55,PA,0,0,0,23.83981633404911,0,Before
56,PA,0,0,0,17.306890781458534,0,Before
57,PA,0,0,0,18.59822775462411,0,Before
58,PA,0,0,0,21.777848208635074,0,Before
59,PA,0,0,0,16.053579913984926,0,Before
60,PA,0,0,0,20.136887816891562,0,Before
61,PA,0,0,0,23.1599997119908,0,Before
62,PA,0,0,0,14.999046943228564,0,Before
63,PA,0,0,0,20.016974803890452,0,Before
64,PA,0,0,0,20.227671823895587,0,Before
65,PA,0,0,0,21.689104040976467,0,Before
66,PA,0,0,0,16.03653800954137,0,Before
67,PA,0,0,0,15.802721483364026,0,Before
68,PA,0,0,0,20.961436383727314,0,Before
69,PA,0,0,0,20.33155708505292,0,Before
70,PA,0,0,0,20.201379980968454,0,Before
71,PA,0,0,0,20.47005498659153,0,Before
72,PA,0,0,0,17.595930779580225,0,Before
73,PA,0,0,0,20.15031035205081,0,Before
74,PA,0,0,0,20.320602925236308,0,Before
75,PA,0,0,0,17.49981602952617,0,Before
76,PA,0,0,0,24.724168631205316,0,Before
77,PA,0,0,0,20.826732178553005,0,Before
78,PA,0,0,0,16.164350207832584,0,Before
79,PA,0,0,0,21.338350104174722,0,Before
0,NJ,1,1,1,19.5708913233635,1,After
1,NJ,1,1,1,24.503836890478865,1,After
2,NJ,1,1,1,25.544067621220734,1,After
3,NJ,1,1,1,20.00208950861521,1,After
4,NJ,1,1,1,24.997453161884103,1,After
5,NJ,1,1,1,23.455786595422197,1,After
6,NJ,1,1,1,24.601768447984572,1,After
7,NJ,1,1,1,27.61102035143105,1,After
8,NJ,1,1,1,21.612913275191964,1,After
9,NJ,1,1,1,20.18953873979903,1,After
10,NJ,1,1,1,19.809359597048534,1,After
11,NJ,1,1,1,20.015731202096774,1,After
12,NJ,1,1,1,22.08411521364051,1,After
13,NJ,1,1,1,23.2552255294866,1,After
14,NJ,1,1,1,23.074734238124055,1,After
15,NJ,1,1,1,24.616113097300868,1,After
16,NJ,1,1,1,22.33640529725814,1,After
17,NJ,1,1,1,26.36989541604049,1,After
18,NJ,1,1,1,21.558960866933724,1,After
19,NJ,1,1,1,29.916473666450933,1,After
20,NJ,1,1,1,24.051868573742016,1,After
21,NJ,1,1,1,19.89995884203441,1,After
22,NJ,1,1,1,19.301501005428886,1,After
23,NJ,1,1,1,23.65092276268092,1,After
24,NJ,1,1,1,21.67430420108762,1,After
25,NJ,1,1,1,24.29920138345786,1,After
26,NJ,1,1,1,23.625065348805926,1,After
27,NJ,1,1,1,22.096079044560756,1,After
28,NJ,1,1,1,19.92897758940847,1,After
29,NJ,1,1,1,18.05842777087958,1,After
30,NJ,1,1,1,21.049758134212343,1,After
31,NJ,1,1,1,24.697916624105723,1,After
32,NJ,1,1,1,22.899462483564573,1,After
33,NJ,1,1,1,18.811931419606434,1,After
34,NJ,1,1,1,22.78490659238331,1,After
35,NJ,1,1,1,23.378888663240744,1,After
36,NJ,1,1,1,19.82519917863683,1,After
37,NJ,1,1,1,22.73043029664748,1,After
38,NJ,1,1,1,22.4629844116488,1,After
39,NJ,1,1,1,19.099683166074257,1,After
40,NJ,1,1,1,23.301804608975193,1,After
41,NJ,1,1,1,23.870196673831057,1,After
42,NJ,1,1,1,25.332543480890777,1,After
43,NJ,1,1,1,25.250645745697728,1,After
44,NJ,1,1,1,18.442525769720145,1,After
45,NJ,1,1,1,19.674089888237656,1,After
46,NJ,1,1,1,23.742098748184247,1,After
47,NJ,1,1,1,23.738600662554184,1,After
48,NJ,1,1,1,23.742133521656935,1,After
49,NJ,1,1,1,33.087648173833216,1,After
50,NJ,1,1,1,23.898493429940867,1,After
51,NJ,1,1,1,25.47958379250568,1,After
52,NJ,1,1,1,24.971204937780968,1,After
53,NJ,1,1,1,24.123895503656236,1,After
54,NJ,1,1,1,21.417246115007032,1,After
55,NJ,1,1,1,24.42511381738115,1,After
56,NJ,1,1,1,20.1360893992948,1,After
57,NJ,1,1,1,21.636907901127977,1,After
58,NJ,1,1,1,20.94098206607851,1,After
59,NJ,1,1,1,22.529247590281702,1,After
60,NJ,1,1,1,28.781043986685823,1,After
61,NJ,1,1,1,17.071657460743104,1,After
62,NJ,1,1,1,24.221528533048637,1,After
63,NJ,1,1,1,17.784395560668976,1,After
64,NJ,1,1,1,20.978590775789588,1,After
65,NJ,1,1,1,25.349061671508625,1,After
66,NJ,1,1,1,22.479984053467298,1,After
67,NJ,1,1,1,19.282314621797944,1,After
68,NJ,1,1,1,20.29714961407209,1,After
69,NJ,1,1,1,24.202873697017093,1,After
70,NJ,1,1,1,20.254973431192017,1,After
71,NJ,1,1,1,22.90608405082953,1,After
72,NJ,1,1,1,22.42760115173068,1,After
73,NJ,1,1,1,20.475519026703715,1,After
74,NJ,1,1,1,28.303043450110913,1,After
75,NJ,1,1,1,24.07497326249043,1,After
76,NJ,1,1,1,16.629600757358702,1,After
77,NJ,1,1,1,22.8220720813544,1,After
78,NJ,1,1,1,20.446997898648515,1,After
79,NJ,1,1,1,24.686813337429427,1,After
0,PA,0,1,1,18.780941932388437,0,After
1,PA,0,1,1,20.678737963892683,0,After
2,PA,0,1,1,22.41396438114528,0,After
3,PA,0,1,1,23.42411454367634,0,After
4,PA,0,1,1,17.639170060243828,0,After
5,PA,0,1,1,20.063396539645346,0,After
6,PA,0,1,1,19.670153128749323,0,After
7,PA,0,1,1,19.170678148793606,0,After
8,PA,0,1,1,25.943271872787072,0,After
9,PA,0,1,1,22.133948790690674,0,After
10,PA,0,1,1,17.469524927861872,0,After
11,PA,0,1,1,23.570013451753372,0,After
12,PA,0,1,1,26.94203735163537,0,After
13,PA,0,1,1,23.89090272954321,0,After
14,PA,0,1,1,16.745764095328763,0,After
15,PA,0,1,1,19.644144595974495,0,After
16,PA,0,1,1,24.547351217722543,0,After
17,PA,0,1,1,19.018525496267415,0,After
18,PA,0,1,1,22.24269439880944,0,After
19,PA,0,1,1,23.168975349602142,0,After
20,PA,0,1,1,18.40459467958137,0,After
21,PA,0,1,1,20.83332900302696,0,After
22,PA,0,1,1,11.924451447806597,0,After
23,PA,0,1,1,18.13171460426399,0,After
24,PA,0,1,1,20.29280917609915,0,After
25,PA,0,1,1,17.50620709049842,0,After
26,PA,0,1,1,25.570751651008578,0,After
27,PA,0,1,1,16.995604141710228,0,After
28,PA,0,1,1,19.767875437248446,0,After
29,PA,0,1,1,21.366073616401057,0,After
30,PA,0,1,1,25.035565209385123,0,After
31,PA,0,1,1,16.97958597669757,0,After
32,PA,0,1,1,24.256858506033886,0,After
33,PA,0,1,1,21.028652570854845,0,After
34,PA,0,1,1,18.25177577706574,0,After
35,PA,0,1,1,22.29388972793716,0,After
36,PA,0,1,1,21.557367147605717,0,After
37,PA,0,1,1,19.319392743955376,0,After
38,PA,0,1,1,21.195445837972052,0,After
39,PA,0,1,1,19.921121928787073,0,After
40,PA,0,1,1,21.317848566703493,0,After
41,PA,0,1,1,22.85396588865893,0,After
42,PA,0,1,1,25.440847085206986,0,After
43,PA,0,1,1,17.534116603284822,0,After
44,PA,0,1,1,26.972493449037547,0,After
45,PA,0,1,1,15.534154161336996,0,After
46,PA,0,1,1,20.57500173390037,0,After
47,PA,0,1,1,22.647288178156813,0,After
48,PA,0,1,1,21.786777229658092,0,After
49,PA,0,1,1,19.25644134450234,0,After
50,PA,0,1,1,20.41725769899963,0,After
51,PA,0,1,1,19.619597382955266,0,After
52,PA,0,1,1,19.349778680556206,0,After
53,PA,0,1,1,23.37888587165887,0,After
54,PA,0,1,1,21.999643360702134,0,After
55,PA,0,1,1,19.059853133270167,0,After
56,PA,0,1,1,23.5188796512131,0,After
57,PA,0,1,1,21.860438658454505,0,After
58,PA,0,1,1,23.276013932749088,0,After
59,PA,0,1,1,22.762960757386114,0,After
60,PA,0,1,1,18.678813969418197,0,After
61,PA,0,1,1,19.431493087448484,0,After
62,PA,0,1,1,23.09242209434513,0,After
63,PA,0,1,1,22.7090367432137,0,After
64,PA,0,1,1,20.941475536900384,0,After
65,PA,0,1,1,21.32851667326459,0,After
66,PA,0,1,1,24.57746170820759,0,After
67,PA,0,1,1,19.343600111259676,0,After
68,PA,0,1,1,22.531872667276104,0,After
69,PA,0,1,1,20.433860573185097,0,After
70,PA,0,1,1,20.390492630963784,0,After
71,PA,0,1,1,24.07657518556413,0,After
72,PA,0,1,1,23.311165777166483,0,After
73,PA,0,1,1,23.277826980801787,0,After
74,PA,0,1,1,24.65534066003212,0,After
75,PA,0,1,1,21.058810756571724,0,After
76,PA,0,1,1,22.909468319625898,0,After
77,PA,0,1,1,20.131253081538322,0,After
78,PA,0,1,1,21.907665786967637,0,After
79,PA,0,1,1,20.635599447770485,0,After
