text,clean,star,vader_compound,token_count,log_token_count,resid_m1,star_bin_1,star_bin_5
Hates it Awful!,hates it awful,1,-0.7345,2,1.0986122886681098,-0.5322079530212656,1,0
The placement of the stars is backwards help,the placement of the stars is backwards help,1,0.4019,4,1.6094379124341003,-2.3575874004021884,1,0
No keypad Useless as there is no keypad to enter the new verification code in the Genesis app before playing a movie,no keypad useless as there is no keypad to enter the new verification code in the genesis app before playing a movie,1,-0.6597,11,2.4849066497880004,-0.6523578849678453,1,0
It was a 5 star app and then... Love this app... But recently  snooze stopped working. I almost missed work because the alarm did not go off after the initial alarm. I think it began around the time I updated my system software. If it's fixed  this will be a 5 star app again!,it was a star app and then love this app but recently snooze stopped working i almost missed work because the alarm did not go off after the initial alarm i think it began around the time i updated my system software if it s fixed this will be a star app again,1,-0.8226,24,3.2188758248682006,-0.39069446365637717,1,0
I like this app This app contains many specialities.,i like this app this app contains many specialities,1,0.3612,6,1.9459101490553132,-2.2922117021371378,1,0
Sucks,sucks,1,-0.3612,1,0.6931471805599453,-1.1318332149953054,1,0
Eat so much space,eat so much space,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
It's large n hanged n virus,it s large n hanged n virus,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Doesn't save on SD card,doesn t save on sd card,1,-0.3875,2,1.0986122886681098,-1.0895879849124839,1,0
This app is always updating  not all of the people can upgrade their phones dont you think of that .Why this app alqays updating fuckyou,this app is always updating not all of the people can upgrade their phones dont you think of that why this app alqays updating fuckyou,1,0.0,12,2.5649493574615367,-1.7120224585662216,1,0
.. Um  just downloaded it and I can't even type into the search bar to find a song. Great app???? Not.,um just downloaded it and i can t even type into the search bar to find a song great app not,1,0.7236,9,2.302585092994046,-2.8743284847232404,1,0
Waste of an app What a waste of time and space! This app is a useless joke. You can't do anything on it at all. Uninstalling.,waste of an app what a waste of time and space this app is a useless joke you can t do anything on it at all uninstalling,1,-0.7574,10,2.3978952727983707,-0.4954240834814707,1,0
Hate this app,hate this app,1,-0.5719,2,1.0986122886681098,-0.7933894895789373,1,0
It takes for every to download,it takes for every to download,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Stopped Working Won't connect.,stopped working won t connect,1,-0.2263,3,1.3862943611198906,-1.3485207259524388,1,0
Sucks,sucks,1,-0.3612,1,0.6931471805599453,-1.1318332149953054,1,0
Crashed my galaxy S7 and when it rebooted my sd card wasn't recognized and required formatting. Luckily I just uninstalled the app  rebooted  and everything went back to normal,crashed my galaxy s and when it rebooted my sd card wasn t recognized and required formatting luckily i just uninstalled the app rebooted and everything went back to normal,1,0.5106,15,2.772588722239781,-2.532190309527766,1,0
Hai shame ngiyabonga! The codes that i was given were are not working  ive been unable to login for days now. M so unistalling thank u,hai shame ngiyabonga the codes that i was given were are not working ive been unable to login for days now m so unistalling thank u,1,-0.1565,12,2.5649493574615367,-1.4606392453357442,1,0
Soheb It required permission dn't know what to do??? Plz guide,soheb it required permission dn t know what to do plz guide,1,0.212,6,1.9459101490553132,-2.0525543512490407,1,0
USELESS APP. NOT EVEN USING IT. Why cant other apps function without it. Tsk... Stupidest app ever. Dont even know what its for... Rate 0 stars if possible but nope... Update it anyway. Since cant use other apps without it being updated... 😠,useless app not even using it why cant other apps function without it tsk stupidest app ever dont even know what its for rate stars if possible but nope update it anyway since cant use other apps without it being updated,1,-0.0973,27,3.332204510175204,-1.555731170084909,1,0
Bekar not update,bekar not update,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
It takes forever,it takes forever,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Waiting for verification. Verification code not arrive in India.,waiting for verification verification code not arrive in india,1,0.0,6,1.9459101490553132,-1.7120224585662216,1,0
fack not work,fack not work,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Sad Hate it everyday. Always updsting and giving errors etc. Fix it! I deserve to use other apps,sad hate it everyday always updsting and giving errors etc fix it i deserve to use other apps,1,-0.7959,12,2.5649493574615367,-0.4335822067442605,1,0
Fuuk youuuuu Fufuuuuk you,fuuk youuuuu fufuuuuk you,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Awsome Its work,awsome its work,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Disaster,disaster,1,-0.6249,1,0.6931471805599453,-0.7082565164082326,1,0
Hate it LOW BATTERY. I'M DONE WITH THIS CRAP,hate it low battery i m done with this crap,1,-0.871,5,1.791759469228055,-0.3129503900438846,1,0
I think most of the apps are useless to me.,i think most of the apps are useless to me,1,-0.4215,3,1.3862943611198906,-1.0349743794822204,1,0
It won't go away! I can not remove from my phone and since I downloaded it my phone has not worked right at all,it won t go away i can not remove from my phone and since i downloaded it my phone has not worked right at all,1,0.0,8,2.1972245773362196,-1.7120224585662216,1,0
Bad Bad,bad bad,1,-0.7906,2,1.0986122886681098,-0.442095504061331,1,0
New interface changes need work Seriously  the main reason I was using this app was because of the black background. Not cool  man. Give us an option to at least invert the scheme. Also give an option to disable swipe. I've deleted dozens of puzzles on accident. It is way too touchy.,new interface changes need work seriously the main reason i was using this app was because of the black background not cool man give us an option to at least invert the scheme also give an option to disable swipe i ve deleted dozens of puzzles on accident it is way too touchy,1,-0.6968,30,3.4339872044851463,-0.5927648037483519,1,0
menganjing semua aplikasi mesti perlukan apps ni...kuat menganjing betollah,menganjing semua aplikasi mesti perlukan apps ni kuat menganjing betollah,1,0.0,9,2.302585092994046,-1.7120224585662216,1,0
Can't play my games now. After the latest update I am not able to play any of my games and the browsing speed has also reduced a lot.,can t play my games now after the latest update i am not able to play any of my games and the browsing speed has also reduced a lot,1,-0.4717,12,2.5649493574615367,-0.9543389973469489,1,0
ERROR On average it will be stopped by an error and there is nothing in the troubleshooting section that even remotely helps me fix it,error on average it will be stopped by an error and there is nothing in the troubleshooting section that even remotely helps me fix it,1,-0.7141,11,2.4849066497880004,-0.5649761162794238,1,0
Too slow to download Tried multiple times,too slow to download tried multiple times,1,0.0,5,1.791759469228055,-1.7120224585662216,1,0
Setting not working Poor app.,setting not working poor app,1,0.3724,4,1.6094379124341003,-2.3102020662788716,1,0
No need.. Please stop updating this in my phone!!!,no need please stop updating this in my phone,1,-0.4545,5,1.791759469228055,-0.9819670565646117,1,0
Waste of data,waste of data,1,-0.4215,2,1.0986122886681098,-1.0349743794822204,1,0
Please Erase the annoying notification,please erase the annoying notification,1,-0.1027,4,1.6094379124341003,-1.547057244516573,1,0
rubbish,rubbish,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
Good May be good.,good may be good,1,0.7003,3,1.3862943611198906,-2.8369021021783833,1,0
Won't download songs,won t download songs,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Unable to search file / further subfolder names in subfolders! After cut-paste  the operation process name is stuck at the notification bar for ever.. How to customise menu layout?,unable to search file further subfolder names in subfolders after cut paste the operation process name is stuck at the notification bar for ever how to customise menu layout,1,-0.3164,18,2.9444389791664403,-1.2037946715622407,1,0
Sivakumar Kumar,sivakumar kumar,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
I hate stickers in this app...... Please urge your company to remove the stickers as insulting to buddhisam here. And indeed woried about what to include such Please  remove buddhisam stickers,i hate stickers in this app please urge your company to remove the stickers as insulting to buddhisam here and indeed woried about what to include such please remove buddhisam stickers,1,-0.5106,17,2.8903717578961645,-0.8918546076046769,1,0
Siam sim,siam sim,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Need update !!!!,need update,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Eunice Wao,eunice wao,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Dakument,dakument,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
Too much hassle Plugin needed for every next feature.,too much hassle plugin needed for every next feature,1,0.0,7,2.0794415416798357,-1.7120224585662216,1,0
Doesn't sync ALL photos & Ads I use to love this app. Used it for years. However  now it does not sync all my contacts that are in my phone and there is no way to manually select either. Also  the ads are annoying. Uninstalling until it's fixed.,doesn t sync all photos ads i use to love this app used it for years however now it does not sync all my contacts that are in my phone and there is no way to manually select either also the ads are annoying uninstalling until it s fixed,1,0.0772,21,3.091042453358316,-1.8360274685431728,1,0
Not restoring anymore. Used to be good app.,not restoring anymore used to be good app,1,0.2528,5,1.791759469228055,-2.1180906777653568,1,0
It not respond Solve this problem it doesn't respond on my Qmobile I5I,it not respond solve this problem it doesn t respond on my qmobile i i,1,-0.5743,5,1.791759469228055,-0.7895344115485656,1,0
It WAS an amazing game but... I changed the GUI size once and instead of making it bigger  it made the GUI super small. So small to the point I could not start anything. I could not fix it's I tried reinstalling even! Please fix it...,it was an amazing game but i changed the gui size once and instead of making it bigger it made the gui super small so small to the point i could not start anything i could not fix it s i tried reinstalling even please fix it,1,0.8832,24,3.2188758248682006,-3.1306911737429477,1,0
Super Assom,super assom,1,0.5994,2,1.0986122886681098,-2.674828196651513,1,0
Used to work okay I have always had some complaints about this app  but now it's just unusable. The sound skips backwards frequently. Adding this complaint to obsolete content and the very annoying twenty minute cutoff for shows that are longer than twenty minutes  and I am uninstalling.,used to work okay i have always had some complaints about this app but now it s just unusable the sound skips backwards frequently adding this complaint to obsolete content and the very annoying twenty minute cutoff for shows that are longer than twenty minutes and i am uninstalling,1,-0.887,24,3.2188758248682006,-0.28724986984140743,1,0
I wish the cached music I set. Wouldn't delete it self. Please keep the downloaded music on the app.,i wish the cached music i set wouldn t delete it self please keep the downloaded music on the app,1,0.6124,11,2.4849066497880004,-2.6957098693160257,1,0
I lost my keys after update Thank you  Google :(,i lost my keys after update thank you google,1,-0.4019,5,1.791759469228055,-1.0664575167302548,1,0
Uses up too many resources.,uses up too many resources,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Awesome and reliable! Update Jan 2016: NO LONGER SILENCES AT NIGHT. Old review:I have used this with three devices. It has never crashed or caused an issue for the four years I have used it.,awesome and reliable update jan no longer silences at night old review i have used this with three devices it has never crashed or caused an issue for the four years i have used it,1,0.3525,19,2.995732273553991,-2.278237044277041,1,0
Stop this nonsense Google please stop this it uses more RAM,stop this nonsense google please stop this it uses more ram,1,-0.5859,7,2.0794415416798357,-0.77090153440177,1,0
It sucks It never saved correctly  it was way to slow and kept on freezing.i also couldn't see any Pokemon during battles,it sucks it never saved correctly it was way to slow and kept on freezing i also couldn t see any pokemon during battles,1,-0.753,12,2.5649493574615367,-0.5024917265371518,1,0
Crash Crash Crash whenever I try to start a blog it crashes. Fix it plzzz asap. :),crash crash crash whenever i try to start a blog it crashes fix it plzzz asap,1,-0.6249,11,2.4849066497880004,-0.7082565164082326,1,0
wish all of google wasnt mandatory stock apps.,wish all of google wasnt mandatory stock apps,1,0.3565,6,1.9459101490553132,-2.2846621743276603,1,0
It won't update,it won t update,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
Good I want it,good i want it,1,0.4939,2,1.0986122886681098,-2.505365391566431,1,0
This used to be great  now I get invalid qt version. My app is qt4.8,this used to be great now i get invalid qt version my app is qt,1,0.7845,6,1.9459101490553132,-2.972151089743918,1,0
Google Talk Back this is not a cool application,google talk back this is not a cool application,1,-0.2411,5,1.791759469228055,-1.3247477447651477,1,0
Cant use on android 5.0 Just white screen appear,cant use on android just white screen appear,1,0.0,6,1.9459101490553132,-1.7120224585662216,1,0
"This is a program  not a service or place of business for illegal telepathy and craft to be conduct """"""""""""""""""""""""""""""""cles'"""""""""""""""""""""""""""""""" I am not pleased with such carelessness. Think about your mother..""""",this is a program not a service or place of business for illegal telepathy and craft to be conduct cles i am not pleased with such carelessness think about your mother,1,-0.8129,13,2.6390573296152584,-0.40627540402912876,1,0
I.m time updeating a was problem me,i m time updeating a was problem me,1,-0.4019,3,1.3862943611198906,-1.0664575167302548,1,0
Pokemon dont save itself. Always crashing.,pokemon dont save itself always crashing,1,-0.3875,5,1.791759469228055,-1.0895879849124839,1,0
Cant be removed,cant be removed,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Need big memory,need big memory,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Games Games,games games,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
It doesn't have most of the songs I was looking for,it doesn t have most of the songs i was looking for,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Too much time wasting,too much time wasting,1,-0.4019,3,1.3862943611198906,-1.0664575167302548,1,0
"Constant error message. """"""""""""""""Unfortunately Google Play services has stopped"""""""""""""""". Who cares ???""""",constant error message unfortunately google play services has stopped who cares,1,0.5007,9,2.302585092994046,-2.5162881126524836,1,0
Ha 12,ha,1,0.34,0,0.0,-2.258158512868856,1,0
Sabc F*** you,sabc f you,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
This app. Will brick your phone By enabling this application I almost bricked my phone it takes me hrs. to bring back the phone to normal condition,this app will brick your phone by enabling this application i almost bricked my phone it takes me hrs to bring back the phone to normal condition,1,0.0,15,2.772588722239781,-1.7120224585662216,1,0
Bad Won't come on and keeps saying error,bad won t come on and keeps saying error,1,-0.7351,5,1.791759469228055,-0.5312441835136728,1,0
Sucks I think its for the blind,sucks i think its for the blind,1,-0.6369,3,1.3862943611198906,-0.6889811262563748,1,0
So irritated,so irritated,1,-0.5095,1,0.6931471805599453,-0.8936215183685974,1,0
NTEGE GERALD Hello,ntege gerald hello,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Usefull,usefull,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
Annoying popup The pop up that shows when I open remote is too annoying. Possibly because I am using an older version,annoying popup the pop up that shows when i open remote is too annoying possibly because i am using an older version,1,-0.6597,11,2.4849066497880004,-0.6523578849678453,1,0
Stinks,stinks,1,-0.25,1,0.6931471805599453,-1.3104518304025197,1,0
Weak  garbage Calibration is off  like stupid off,weak garbage calibration is off like stupid off,1,-0.5859,5,1.791759469228055,-0.77090153440177,1,0
Devil It just sucks,devil it just sucks,1,-0.7845,2,1.0986122886681098,-0.45189382738852535,1,0
This app sucks. It will not find any songs I want.,this app sucks it will not find any songs i want,1,-0.296,5,1.791759469228055,-1.2365628348203987,1,0
I hated it,i hated it,1,-0.6369,1,0.6931471805599453,-0.6889811262563748,1,0
my carefully aquired playlists have just disappeared  beware ! buggy software!,my carefully aquired playlists have just disappeared beware buggy software,1,-0.2462,7,2.0794415416798357,-1.3165557039506082,1,0
Uses more battery than it said it would Not a very good passive app. Didn't seem to have a setting to passively collect data. Also couldn't delete my recorded data in the app.,uses more battery than it said it would not a very good passive app didn t seem to have a setting to passively collect data also couldn t delete my recorded data in the app,1,-0.6274,17,2.8903717578961645,-0.7042408101265956,1,0
Hate this app Horrible first impression  doesn't even work,hate this app horrible first impression doesn t even work,1,-0.743,7,2.0794415416798357,-0.5185545516636998,1,0
I just dont need it Just like the google text to speech i do not need this app... i cant get rid of it cause its a permanent app on my phone and its just annoying!! It should be an optional decision for the user to download it or not!!,i just dont need it just like the google text to speech i do not need this app i cant get rid of it cause its a permanent app on my phone and its just annoying it should be an optional decision for the user to download it or not,1,-0.3331,20,3.044522437723423,-1.1769697536009054,1,0
POOR UI it's 2016,poor ui it s,1,-0.5904,1,0.6931471805599453,-0.7636732630948233,1,0
lakhan,lakhan,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
Garbage... Not even worth 1 star!,garbage not even worth star,1,-0.2401,4,1.6094379124341003,-1.3263540272778025,1,0
It won't up date iv tried and tried and not going to try again!,it won t up date iv tried and tried and not going to try again,1,0.0,5,1.791759469228055,-1.7120224585662216,1,0
App is junk. Locks all other apps if errors occur with it. To bad no zero stars,app is junk locks all other apps if errors occur with it to bad no zero stars,1,-0.7964,9,2.302585092994046,-0.4327790654879331,1,0
So boring Its so hard to control,so boring its so hard to control,1,-0.5083,3,1.3862943611198906,-0.895549057383783,1,0
Crashes instantly every time that I try to connect it to a standard rtorrent server  can't even open the anymore.,crashes instantly every time that i try to connect it to a standard rtorrent server can t even open the anymore,1,0.0,12,2.5649493574615367,-1.7120224585662216,1,0
Keeps shutting down Since the update it shuts down everytime I try to start it on my galaxy tab A,keeps shutting down since the update it shuts down everytime i try to start it on my galaxy tab a,1,0.0,10,2.3978952727983707,-1.7120224585662216,1,0
Good for the first like three times playing it,good for the first like three times playing it,1,0.7351,6,1.9459101490553132,-2.8928007336187704,1,0
Horrible No coming back to life,horrible no coming back to life,1,-0.6908,4,1.6094379124341003,-0.6024024988242809,1,0
What does please configure a games directory mean,what does please configure a games directory mean,1,0.3182,5,1.791759469228055,-2.2231415540929813,1,0
Bad Ak baar update karo to hota Hindi,bad ak baar update karo to hota hindi,1,-0.5423,6,1.9459101490553132,-0.8409354519535195,1,0
Didn't scan and didn't open any files.,didn t scan and didn t open any files,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
no? wor? on ?o?o g 3,no wor on o o g,1,-0.4871,1,0.6931471805599453,-0.929602246652065,1,0
Can't use my phone  try to install but won't work.,can t use my phone try to install but won t work,1,0.0,5,1.791759469228055,-1.7120224585662216,1,0
Like It's is a good app,like it s is a good app,1,0.6597,3,1.3862943611198906,-2.771687032164598,1,0
Bbbb Ha,bbbb ha,1,0.34,1,0.6931471805599453,-2.258158512868856,1,0
Pointless.,pointless,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
I think that it is annoying because when i try to open a page it says Sorry we cannot find a matching file😴😴😴,i think that it is annoying because when i try to open a page it says sorry we cannot find a matching file,1,-0.4588,10,2.3978952727983707,-0.975060041760196,1,0
Playlist doesn't work If you make a playlist when it jumps to the next article it either starts in the middle or just before the end. This is extremely annoying - please fix ASAP!,playlist doesn t work if you make a playlist when it jumps to the next article it either starts in the middle or just before the end this is extremely annoying please fix asap,1,-0.1795,16,2.833213344056216,-1.4236947475446837,1,0
Why do we even have to install this,why do we even have to install this,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Upsate 59 60 time but not work. I can't installe??,upsate time but not work i can t installe,1,0.0,4,1.6094379124341003,-1.7120224585662216,1,0
poor to no documentation. certificates are non-existant. hours wasted,poor to no documentation certificates are non existant hours wasted,1,-0.8176,7,2.0794415416798357,-0.3987258762196513,1,0
locked out of files & won't update database I am locked out of my files. I apply my password  and then am told to update. It never updates and then tells me I applied the wrong password. Backups fail too. Reported to helpdesk four days ago and no response. Uninstalled it to free the files to the root directory and moved them to my PC-they were corrupted and unopenable. Reinstalled it but couldn't move the files back to the phone. Now what? Hey  thanks for nothing!,locked out of files won t update database i am locked out of my files i apply my password and then am told to update it never updates and then tells me i applied the wrong password backups fail too reported to helpdesk four days ago and no response uninstalled it to free the files to the root directory and moved them to my pc they were corrupted and unopenable reinstalled it but couldn t move the files back to the phone now what hey thanks for nothing,1,0.3382,40,3.713572066704308,-2.2552672043460773,1,0
Emir SARAFOLU,emir sarafolu,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Little Net,little net,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
time waste. it does nothing.only show permissions which already app manager shows. just go to app manager to see permissions.,time waste it does nothing only show permissions which already app manager shows just go to app manager to see permissions,1,-0.4215,13,2.6390573296152584,-1.0349743794822204,1,0
Why these update eats up phone's app storage These updates are very huge in size and I m having trouble in installing other apps,why these update eats up phone s app storage these updates are very huge in size and i m having trouble in installing other apps,1,-0.0276,11,2.4849066497880004,-1.667689061216949,1,0
P O S NEVER DOWNLOAD THIS TRASH!!!!!,p o s never download this trash,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Useless,useless,1,-0.4215,1,0.6931471805599453,-1.0349743794822204,1,0
Useless,useless,1,-0.4215,1,0.6931471805599453,-1.0349743794822204,1,0
'Cause of the folder that it creates in the storage It can't be deleted. Apparently  I do not have permission to edit anything in it. I wonder why that is.,cause of the folder that it creates in the storage it can t be deleted apparently i do not have permission to edit anything in it i wonder why that is,1,0.2732,10,2.3978952727983707,-2.1508588410235148,1,0
******* little app This app is nonsense dont ever install it. I used it on clash of clans but after that the game never ever opened even after uninstalling this app and again downloading clash of clans,little app this app is nonsense dont ever install it i used it on clash of clans but after that the game never ever opened even after uninstalling this app and again downloading clash of clans,1,-0.2144,20,3.044522437723423,-1.3676354878530308,1,0
Amazing Khan,amazing khan,1,0.5859,2,1.0986122886681098,-2.653143382730673,1,0
I install and can't even open,i install and can t even open,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Always need update and make my storage full!,always need update and make my storage full,1,0.0,6,1.9459101490553132,-1.7120224585662216,1,0
SAMIM samim,samim samim,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Not working Not working in redmi note 3. Android L. Useless apps. Don't download.,not working not working in redmi note android l useless apps don t download,1,-0.4215,8,2.1972245773362196,-1.0349743794822204,1,0
Don't install! Crashes device by freezing the screen  torch can't be switched off. Only a couple of reboots fixed the problem.,don t install crashes device by freezing the screen torch can t be switched off only a couple of reboots fixed the problem,1,-0.5255,11,2.4849066497880004,-0.8679209981661204,1,0
Thanks for making it worse I live this app because it is easy to use and simple. When I open a file it crashes. It's very annoying. You have to fix it,thanks for making it worse i live this app because it is easy to use and simple when i open a file it crashes it s very annoying you have to fix it,1,-0.0754,13,2.6390573296152584,-1.5909087571120493,1,0
Doesn't install. Even tried downloading the superuser.zip and installing via recovery. Getting a footer length error and verification error. Back to SuperSU I guess... ;(,doesn t install even tried downloading the superuser zip and installing via recovery getting a footer length error and verification error back to supersu i guess,1,-0.6597,18,2.9444389791664403,-0.6523578849678453,1,0
Tippanna Tippann,tippanna tippann,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
