text,clean,star,vader_compound,residual
"While shopping around numerous places, The Signature was the only 1 that claimed they were able to house all 8 of us within our budget Reservations told me, they have a Suite that had 2 bedrooms & large living room: room #1 had 2 queen bed & 1 pull out bed, room #2 has 1 king size bed & 1 pull out bed & large living room area between the 2 room It also came with a full kitchen & an extra bathroom in the living room They also told me to go to their website to look at the photo video, which I did & it looked nice It was for $1150 for 3 day & 2 night I called back later on, just to double check what I was told & reservation confirmed it with me that I took down everything correct  After discussing with my friends, we came to conclusion that, that was what we wanted Again, I called reservations again & they told me the same thing This time, they even offered me a 10% discount for having AAA. Even better!  So its finally Friday, we were early, so we left our luggage with the bell hop. He was very nice, helped us right away and store our luggage away We returned back around 3 pm to check in, the process was nice & quick Excited I headed towards the suite, open the door, only to find, that it WASN'T what was on the photos & as described. It only has 2 bedrooms 2 separate living rooms each bedroom had only 1 bed & 1 pull out couch  A bit puzzled, I ran down stairs to ask the front desk for help, I went back to the same person who checked me in And this time, he was a bit rude to me, he said that was what I booked & what I wanted, there isn't anything he can do for me & sent me away  I went back to the hotel room, just a bit upset. I told my friends, they were just all a bit upset as well But as I sat there, just replaying what I was told by reservation, again & again, it didn't make sense to me I decided to call front desk again, demanded for someone to fix matters for me  Now is when it goes super downhill, they pretty much transferred me around, I believe among each other so I would give up But I didn't!! They made me explain my situation again, again & again Non-stop One of them told me that if I was not happy with the room, I can cancel it, but I will be charged the cancellation fee Another told me that they don't offer roll out beds, but they will have to charge me for the extra people I have in my room That I originally ask about, that they said was fine to have 8 people in one suite. This other one told me they can give me $100 food & beverage credit Another told me to just book another room with them, & just that night itself it was going to be $350+  FINALLY! They send me to their Front Desk Manager her name is Valarie, she had me explain my whole situation to her again No surprised there She tells me, she is sorry, & asked what she can do. I ask her what she can do for me. She said if I want, I can just leave, & she will cancel my stay. She will also do me a favor by waiving my cancellation fee. That's the only solution she offered me... Really?!  Seriously, that was the last straw for me. I just lost it, I told her I was going to stay, I don't have time to go looking for another hotel in the middle of the day. I even booked a bungalow at the pool area. I know, at this point I was possibly the worst customer to deal with But giving me the run around doesn't give them the excuse to push me out I am sorry, but they did this to me, they bought the angry me to themselves I don't want to have to break the bad news to my friends by telling them to sleep on the floor or have them pay more to stay in a different room   Along the line of discussing with her, she told me that my stay was going to be free. That totally caught me off guard, I wasn't expecting that at all, whatsoever. A bit confused I asked again so my stay here will be free? Saying this loud enough that friends could hear me And she said YES.  She told me yes, suddenly I was bit relief. After thanking her, we hung up  I thought to myself wow The Signature is really good at taking care of their customers, sadly it is only when the customer is able to lost it. Then the bf decided to hop onto Yelp & saw that most of their complaints was about customer services & the front desk about how they are NOT helpful at all. I felt a bit uneasy, so I gave them a call again. Asked for Valarie directly, I asked her again about this whole ordeal about my stay being free. And you know what?! She said NO, I didn't say that!! OMFG! Right? RIGHT?! I repeated to her again what we talked about. She didn't say anything to me & automatically tossed in another 10% off She also casually mentioned that she will see if she can get our bungalow with $100 food & beverages comp which didn't happen. I didn't know what to say anymore. I was done fighting  I just settled and folded. The hotel stay was around $758 But I don't know, I didn't leave a happy camper. For sure I will not go back & if anyone ask about where to stay in Vegas I will be sure to let them know where NOT to stay.",while shopping around numerous places the signature was the only that claimed they were able to house all of us within our budget reservations told me they have a suite that had bedrooms large living room room had queen bed pull out bed room has king size bed pull out bed large living room area between the room it also came with a full kitchen an extra bathroom in the living room they also told me to go to their website to look at the photo video which i did it looked nice it was for for day night i called back later on just to double check what i was told reservation confirmed it with me that i took down everything correct after discussing with my friends we came to conclusion that that was what we wanted again i called reservations again they told me the same thing this time they even offered me a discount for having aaa even better so its finally friday we were early so we left our luggage with the bell hop he was very nice helped us right away and store our luggage away we returned back around pm to check in the process was nice quick excited i headed towards the suite open the door only to find that it wasn t what was on the photos as described it only has bedrooms separate living rooms each bedroom had only bed pull out couch a bit puzzled i ran down stairs to ask the front desk for help i went back to the same person who checked me in and this time he was a bit rude to me he said that was what i booked what i wanted there isn t anything he can do for me sent me away i went back to the hotel room just a bit upset i told my friends they were just all a bit upset as well but as i sat there just replaying what i was told by reservation again again it didn t make sense to me i decided to call front desk again demanded for someone to fix matters for me now is when it goes super downhill they pretty much transferred me around i believe among each other so i would give up but i didn t they made me explain my situation again again again non stop one of them told me that if i was not happy with the room i can cancel it but i will be charged the cancellation fee another told me that they don t offer roll out beds but they will have to charge me for the extra people i have in my room that i originally ask about that they said was fine to have people in one suite this other one told me they can give me food beverage credit another told me to just book another room with them just that night itself it was going to be finally they send me to their front desk manager her name is valarie she had me explain my whole situation to her again no surprised there she tells me she is sorry asked what she can do i ask her what she can do for me she said if i want i can just leave she will cancel my stay she will also do me a favor by waiving my cancellation fee that s the only solution she offered me really seriously that was the last straw for me i just lost it i told her i was going to stay i don t have time to go looking for another hotel in the middle of the day i even booked a bungalow at the pool area i know at this point i was possibly the worst customer to deal with but giving me the run around doesn t give them the excuse to push me out i am sorry but they did this to me they bought the angry me to themselves i don t want to have to break the bad news to my friends by telling them to sleep on the floor or have them pay more to stay in a different room along the line of discussing with her she told me that my stay was going to be free that totally caught me off guard i wasn t expecting that at all whatsoever a bit confused i asked again so my stay here will be free saying this loud enough that friends could hear me and she said yes she told me yes suddenly i was bit relief after thanking her we hung up i thought to myself wow the signature is really good at taking care of their customers sadly it is only when the customer is able to lost it then the bf decided to hop onto yelp saw that most of their complaints was about customer services the front desk about how they are not helpful at all i felt a bit uneasy so i gave them a call again asked for valarie directly i asked her again about this whole ordeal about my stay being free and you know what she said no i didn t say that omfg right right i repeated to her again what we talked about she didn t say anything to me automatically tossed in another off she also casually mentioned that she will see if she can get our bungalow with food beverages comp which didn t happen i didn t know what to say anymore i was done fighting i just settled and folded the hotel stay was around but i don t know i didn t leave a happy camper for sure i will not go back if anyone ask about where to stay in vegas i will be sure to let them know where not to stay,1,0.9563,-2.536935867715264
"Came here for a blowout since it was so close to my house. I made an appt 4 days before and the person who helped me said it wouldn't be an issue for 1pm. I explained that I needed to be somewhere later in the day and that it was important I got in and out. Well needless to say, I waited for 30 minutes and eventually had to leave without my blowout! I checked in 10 minutes early so not to be late and the girl who was supposed to help me was cutting someone else's hair. She said it would be a few minutes so I thought I was okay. But it looked like she just started on someone who walked in. Once 20 minutes passed by, I decided it would have been easier to do my own hair instead of wasting my time. I spoke to the hairdresser and told her I was leaving and all she could say was sorry. I explained, nicely, that if someone make an appt that its important not to keep them waiting. She could only apologize and said I could wait if I wanted. I clearly didn't have time too since it takes 30 minutes to begin with. She asked if I wanted to speak to the salon manager and I did. The manager could not offer me anything for my time. She just kept saying she was sorry and I could wait since all the hairdressers were busy with other clients. In the end, I was just super disappointed with the timeliness and professionalism of the staff. Seriously, there's nothing you can do?? Nothing? You lost a customer today.",came here for a blowout since it was so close to my house i made an appt days before and the person who helped me said it wouldn t be an issue for pm i explained that i needed to be somewhere later in the day and that it was important i got in and out well needless to say i waited for minutes and eventually had to leave without my blowout i checked in minutes early so not to be late and the girl who was supposed to help me was cutting someone else s hair she said it would be a few minutes so i thought i was okay but it looked like she just started on someone who walked in once minutes passed by i decided it would have been easier to do my own hair instead of wasting my time i spoke to the hairdresser and told her i was leaving and all she could say was sorry i explained nicely that if someone make an appt that its important not to keep them waiting she could only apologize and said i could wait if i wanted i clearly didn t have time too since it takes minutes to begin with she asked if i wanted to speak to the salon manager and i did the manager could not offer me anything for my time she just kept saying she was sorry and i could wait since all the hairdressers were busy with other clients in the end i was just super disappointed with the timeliness and professionalism of the staff seriously there s nothing you can do nothing you lost a customer today,1,0.9593,-2.540582412885408
"Absolutely SO disappointed and will NEVER go back to this Verizon store.  Waited over an hour to be helped ONLY to be told they had NO new IPhone 6 or iPhone6+ phones and it would be at least a month before they had them.  When I asked why they didn't have a sign stating such, the guy just shrugged!  A Verizon customer for 12 years - nobody ever sent me an advertisement about the $200 trade in.  A friend from work told me - he got his at a Verizon store NO problem.  Anyway - I'll get the phone in time but it will NOT be at this store and, you know what, they don't care!",absolutely so disappointed and will never go back to this verizon store waited over an hour to be helped only to be told they had no new iphone or iphone phones and it would be at least a month before they had them when i asked why they didn t have a sign stating such the guy just shrugged a verizon customer for years nobody ever sent me an advertisement about the trade in a friend from work told me he got his at a verizon store no problem anyway i ll get the phone in time but it will not be at this store and you know what they don t care,1,-0.8559,-0.33417948193668234
The service was not good at all. I ordered a Chicken burger and it came with chicken thigh instead of chicken breast. The people who ate with me were also complaining their food was not good. It seemed pricey for what you got. Definitevely NOT going back there...,the service was not good at all i ordered a chicken burger and it came with chicken thigh instead of chicken breast the people who ate with me were also complaining their food was not good it seemed pricey for what you got definitevely not going back there,1,-0.682,-0.5455575502993879
"Had lunch at Pin Kaow. DO NOT EAT there. The service is terrible. I went about 6 months ago with my wife and the service was poor but went today for first time with co-workers. They have us under cooked chicken appetizers - we returned them and they came back AGAIN under cooked. The manager got an attitude with me when I asked for the employee who ordered them to have his ticket removed. When the manager brought me my ticket I asked if there was someone she would like me to call if I got salmonella poisoning tonight. She said there was a special place on their website for that. \""You have a specific section on your website for if people get sick after eating here?\"" I asked. \""Yes\"" she replied. Classic.",had lunch at pin kaow do not eat there the service is terrible i went about months ago with my wife and the service was poor but went today for first time with co workers they have us under cooked chicken appetizers we returned them and they came back again under cooked the manager got an attitude with me when i asked for the employee who ordered them to have his ticket removed when the manager brought me my ticket i asked if there was someone she would like me to call if i got salmonella poisoning tonight she said there was a special place on their website for that you have a specific section on your website for if people get sick after eating here i asked yes she replied classic,1,-0.7876,-0.417199160310304
"Went in for a slice of pizza.   Stood at the counter for 5 minutes. No one ever came out.  So I left,  this wasn't at a weird hour either.  It was noon.  Not impressed",went in for a slice of pizza stood at the counter for minutes no one ever came out so i left this wasn t at a weird hour either it was noon not impressed,1,-0.5,-0.7667812906214837
"The punchline unfortunately has to be \""shockingly disappointing food\"".  We walked in without reservation and had a short wait of 25 minutes.  We began with Nam Kao Tod (crispy rice). The dish was not to my taste, as the sourness of the lime was too overpowering.  Next we had the Tom Kah Kai. This mushroom soup with a coconut milk based broth proved inedible despite our best efforts and was unquestionably the lowlight.  We ordered drunken noodles with soft shell crab as our first entree. The noodles were passable but soggy, the crab meat was chewy.  Our final selection, the musaman curry with tofu was mediocre, but the highlight nonetheless. It also had an unusual but pleasant sweetness.  Though the food was a disappointment, staff was prompt, friendly, and attentive with wait staff checking in frequently (though not too often).  The price was also very reasonable for Las Vegas.  Overall, I would recommend dining elsewhere.",the punchline unfortunately has to be shockingly disappointing food we walked in without reservation and had a short wait of minutes we began with nam kao tod crispy rice the dish was not to my taste as the sourness of the lime was too overpowering next we had the tom kah kai this mushroom soup with a coconut milk based broth proved inedible despite our best efforts and was unquestionably the lowlight we ordered drunken noodles with soft shell crab as our first entree the noodles were passable but soggy the crab meat was chewy our final selection the musaman curry with tofu was mediocre but the highlight nonetheless it also had an unusual but pleasant sweetness though the food was a disappointment staff was prompt friendly and attentive with wait staff checking in frequently though not too often the price was also very reasonable for las vegas overall i would recommend dining elsewhere,1,0.874,-2.4368989785476343
"Odd menu, poor choices, poorly presented. The way the food is served is strange, they give you the cooked meat, with the flavor (sauce) on the side. Good rice. I was disappointed with the menu it is very limited as far as Asian restaurants go. They have no side dishes... I mean really? What is a Chinese dinner without a few side dishes? Comfortable dining room and a nice bar. The service was marginal, the  waiters seemed confused and not familiar with the menu, even as small as it is. They scrambled and wanted to charge me for a 13 dollar dinner, just because I wanted a side of noodles. I will not go back. Disappointing if you are used to really good Chinese food. To sum it up... find another place!",odd menu poor choices poorly presented the way the food is served is strange they give you the cooked meat with the flavor sauce on the side good rice i was disappointed with the menu it is very limited as far as asian restaurants go they have no side dishes i mean really what is a chinese dinner without a few side dishes comfortable dining room and a nice bar the service was marginal the waiters seemed confused and not familiar with the menu even as small as it is they scrambled and wanted to charge me for a dollar dinner just because i wanted a side of noodles i will not go back disappointing if you are used to really good chinese food to sum it up find another place,1,-0.2081,-1.121590135676537
"MARCOS CHAIDEZ IRRESPONSABLE HAIRDRESSER, DESTROYED MY HAIR   I called the Platinum Hair Studio to make an appointment for retouch my highlights, do hydration and cute the ends, I asked the secretary who was the best professional specialized on highlights and she booked me with MARCOS CHAIDEZ.  My appointment was for the end of February, I met MARCOS CHAIDEZ and asked him to follow the same pattern of highlight I had, it was Blonde stripes, nothing complicated to do, anyway he made me look very Blonde, he made tiny highlights with not the streaks separation I had,  the Blonde was all blended with my dark hair. I didn't liked but I was in a hurry, I didn't want spend more 2h there... When I got home I texted him to say that, and he said would be better to wait to get it fixed the way I wanted the next month to give time for my hair.  I made an appointment with him for Thus April 12, before a whole month business trip in Europe. I had to leave on Monday 16 to attend a Fitness expo in Germany( I'm a fitness model) I arrived at the salon in the time scheduled and I explained to Marcos that was better he just follow the same pattern he did in instead of try to make my hair look as it was before he touched.  I also asked him to not bleach where was already bleached to not damage, better only retouch the roots and in instead of start retouch from the back to start from the front because the hair in the back was sensitive already.  He did start from the front, and because the aluminum foil was covering my eyes I was not really able to see what exactly he was doing, he left it over 15 min and put me in the dryer for more 10 min then washed my hair with shampoo and I felt that after the shampoo he said he will do a deep hydratation but I think he put more bleach because my scalp start to was burn a little, I start to be worried and aks him what was that he putting in my head, he repeated was a deep hydration, anyway I was not able to tell because my head was laid back in the place where they wash the hair.  Then he rinsed what I think was bleach and put conditioner over it and rinsed again, then brought me to blow dry and ironed my hair, all the time he was drying my hair and ironing he turned my head against the mirror so I couldn't really see how it looks, I saw only at the end and I noticed it was really dark on the sides and very light platinum blonde in the front. Again I left not so happy because once again he didn't follow my requests, but again I was in a hurry due all my preparation for my travel I wouldn't be able to lose any more time there and I didn't want to.  When I left the salon the hair looked ok because he sprayed a lot of products before I left and it last straight and like normal until I washed it on Sunday. When I washed my hair it started to curl and break, I had pieces of my hair in my hands... I dried it with blow dry in a low temperature to try to take of all the frizz but didn't worked.  My hair never look so bad and damaged in my whole life.  I texted MARCOS CHAIDEZ to tell him what he done to my hair but I'm sure he knew what he done to my hair already when I left the salon that day. He never answered me my texts or phone call.  I noticed that he tried to cover the excess of bleach dying it black what make it even worst, right now my hair looks all brittle in the top very short because it all broke and the blond with some black spots, it look really bad.   I totally rely in my image because of my work, I was desperate with my hair that way, having to attend the expo in Europe and with a bunch of photo shoots scheduled...  I went in a famous hair salon in Europe, when the hairdresser looked my hair he was in shock. The only solution he found was use a non permanent dark color( permanent would damage it even more) to cover all the ugly Blonde Greysh color and left only the front highlights, and a week later I went back for a treatment. And buy a half wig to wear until my hair grows back in the spots Marcos destroyed. I had to spend couple hundred Euros to cover up all his irresponsibility and lack or professionalism. I feeling very depress, I had a gorgeous hair.  I writing this detailed review because I don't want anyone face a situation like I having right now",marcos chaidez irresponsable hairdresser destroyed my hair i called the platinum hair studio to make an appointment for retouch my highlights do hydration and cute the ends i asked the secretary who was the best professional specialized on highlights and she booked me with marcos chaidez my appointment was for the end of february i met marcos chaidez and asked him to follow the same pattern of highlight i had it was blonde stripes nothing complicated to do anyway he made me look very blonde he made tiny highlights with not the streaks separation i had the blonde was all blended with my dark hair i didn t liked but i was in a hurry i didn t want spend more h there when i got home i texted him to say that and he said would be better to wait to get it fixed the way i wanted the next month to give time for my hair i made an appointment with him for thus april before a whole month business trip in europe i had to leave on monday to attend a fitness expo in germany i m a fitness model i arrived at the salon in the time scheduled and i explained to marcos that was better he just follow the same pattern he did in instead of try to make my hair look as it was before he touched i also asked him to not bleach where was already bleached to not damage better only retouch the roots and in instead of start retouch from the back to start from the front because the hair in the back was sensitive already he did start from the front and because the aluminum foil was covering my eyes i was not really able to see what exactly he was doing he left it over min and put me in the dryer for more min then washed my hair with shampoo and i felt that after the shampoo he said he will do a deep hydratation but i think he put more bleach because my scalp start to was burn a little i start to be worried and aks him what was that he putting in my head he repeated was a deep hydration anyway i was not able to tell because my head was laid back in the place where they wash the hair then he rinsed what i think was bleach and put conditioner over it and rinsed again then brought me to blow dry and ironed my hair all the time he was drying my hair and ironing he turned my head against the mirror so i couldn t really see how it looks i saw only at the end and i noticed it was really dark on the sides and very light platinum blonde in the front again i left not so happy because once again he didn t follow my requests but again i was in a hurry due all my preparation for my travel i wouldn t be able to lose any more time there and i didn t want to when i left the salon the hair looked ok because he sprayed a lot of products before i left and it last straight and like normal until i washed it on sunday when i washed my hair it started to curl and break i had pieces of my hair in my hands i dried it with blow dry in a low temperature to try to take of all the frizz but didn t worked my hair never look so bad and damaged in my whole life i texted marcos chaidez to tell him what he done to my hair but i m sure he knew what he done to my hair already when i left the salon that day he never answered me my texts or phone call i noticed that he tried to cover the excess of bleach dying it black what make it even worst right now my hair looks all brittle in the top very short because it all broke and the blond with some black spots it look really bad i totally rely in my image because of my work i was desperate with my hair that way having to attend the expo in europe and with a bunch of photo shoots scheduled i went in a famous hair salon in europe when the hairdresser looked my hair he was in shock the only solution he found was use a non permanent dark color permanent would damage it even more to cover all the ugly blonde greysh color and left only the front highlights and a week later i went back for a treatment and buy a half wig to wear until my hair grows back in the spots marcos destroyed i had to spend couple hundred euros to cover up all his irresponsibility and lack or professionalism i feeling very depress i had a gorgeous hair i writing this detailed review because i don t want anyone face a situation like i having right now,1,0.309,-1.7501329715037661
If I could get less than one star I would.     I just stopped there last night for a quick bite to eat. The staff was busy on their cell phones not processing orders. I ordered tartar sauce got charged for tartar sauce and realized when I got home but there was no tartar sauce. My items had been pierced by the tongs in the fryer so everything was greasy. I think the only reason this place is still in business is it's near a high school where kids don't care what they eat.,if i could get less than one star i would i just stopped there last night for a quick bite to eat the staff was busy on their cell phones not processing orders i ordered tartar sauce got charged for tartar sauce and realized when i got home but there was no tartar sauce my items had been pierced by the tongs in the fryer so everything was greasy i think the only reason this place is still in business is it s near a high school where kids don t care what they eat,1,-0.7959,-0.4071103853395708
"We've eaten here before, the former times during the dinner rush. Those dining experiences were 100x better than the awful service tonight. We arrived around 8pm tonight, we waited at our table for 15 min before our server opted to take our order. My biggest pet peeve (which is why I hate being seated in a back table tucked away from server stations) is being unattended for more than 10 min ESPECIALLY when it's slow!   So we finally get to place our order and boom server doesn't know the menu yet. Because apparently what I ordered was a new one for her. Above all, they came back confirming my order thrice, thereafter, one time another server confirming. To top it off, my order came out wrong anyways and our drinks never once refilled. At that point, I've succumbed to their poor service and decided I could skip a meal. At check out, we're asked, \""how was everything?\"" Glad someone else was with me to kindly pass a, \""it was great.\""",we ve eaten here before the former times during the dinner rush those dining experiences were x better than the awful service tonight we arrived around pm tonight we waited at our table for min before our server opted to take our order my biggest pet peeve which is why i hate being seated in a back table tucked away from server stations is being unattended for more than min especially when it s slow so we finally get to place our order and boom server doesn t know the menu yet because apparently what i ordered was a new one for her above all they came back confirming my order thrice thereafter one time another server confirming to top it off my order came out wrong anyways and our drinks never once refilled at that point i ve succumbed to their poor service and decided i could skip a meal at check out we re asked how was everything glad someone else was with me to kindly pass a it was great,1,-0.5093,-0.7554770005940359
"DO NOT GO HERE. They cut my dogs ear so deep. Please save yourself money and your dogs suffering. Absolutely horrible service especially when answering phone calls. Honestly, I don't feel like they care about the animals at all.",do not go here they cut my dogs ear so deep please save yourself money and your dogs suffering absolutely horrible service especially when answering phone calls honestly i don t feel like they care about the animals at all,1,0.2822,-1.7175571679838093
"I actually didn't stay in the hotel but I am actually reviewing the rollercoaster. First of all, the roller coaster is really expensive, aro $14. It seems like the coaster is always busy. Let me spare you the time and DO NOT RIDE THIS COASTER. I have ridden many coasters in my life and this is by far the roughest. Not smooth at all. I hurt my shoulder also. I heard 3 other people complain about headaches. The coaster looks cool from the outside but BEWARE.",i actually didn t stay in the hotel but i am actually reviewing the rollercoaster first of all the roller coaster is really expensive aro it seems like the coaster is always busy let me spare you the time and do not ride this coaster i have ridden many coasters in my life and this is by far the roughest not smooth at all i hurt my shoulder also i heard other people complain about headaches the coaster looks cool from the outside but beware,1,-0.3919,-0.8981784682523548
